 1 0.006 ∓ 0.006   0.005 ∓ 0.004 
 2 0.005 ∓ 0.003   0.005 ∓ 0.002 
 3 0.005 ∓ 0.003   0.005 ∓ 0.002 
 4 0.005 ∓ 0.001   0.005 ∓ 0.001 
 5 0.005 ∓ 0.002   0.005 ∓ 0.001 
 6 0.006 ∓ 0.002   0.006 ∓ 0.001 
 7 0.006 ∓ 0.001   0.007 ∓ 0.001 
 8 0.007 ∓ 0.002   0.009 ∓ 0.001 
 9 0.010 ∓ 0.003   0.013 ∓ 0.002 
10 0.013 ∓ 0.003   0.018 ∓ 0.003 
11 0.020 ∓ 0.004   0.029 ∓ 0.007 
12 0.031 ∓ 0.010   0.049 ∓ 0.013 
13 0.057 ∓ 0.017   0.097 ∓ 0.033 
14 0.094 ∓ 0.038   0.171 ∓ 0.063 
15 0.182 ∓ 0.079   0.323 ∓ 0.156 
16 0.370 ∓ 0.169   0.660 ∓ 0.314 
17 0.819 ∓ 0.370   1.480 ∓ 0.665 
18 1.515 ∓ 0.905   2.736 ∓ 1.626 
19 2.612 ∓ 1.869   4.818 ∓ 3.355 
20 6.085 ∓ 3.900   11.550 ∓ 7.661 
21 11.416 ∓ 8.296   21.818 ∓ 16.269 
22 19.950 ∓ 17.799   42.112 ∓ 45.109 
23 42.792 ∓ 35.622   87.262 ∓ 90.579 
24 85.646 ∓ 79.186   149.567 ∓ 108.104
